lieu;latitude;longitude
La Sioule (03);46,31217507;3,29729767
La Beaume (07);44,48010815;4,253148928
Le Lac de l Abbaye (39);46,52947694;5,910707134
Le Cousin (89);47,48172739;3,9088529
Le Lac du Bourget (73);45,73091226;5,860194878
Quiberon (56);47,47771462;-3,119288681
Le Gardon (30);43,92259485;4,348254275
Le lac de Nino (2A);42,2558675;8,939267705
Roche-Plate (974);-21,25131414;55,61613857
Vallee de la Claree (05);44,96689209;6,672457935
